Gene,Cluster_Mean,Single_Mean,Log2FC,P_value,Significant
IL8,6.274,2.278,3.996,0.0129,True
TNF,5.035,1.42,3.615,0.0037,True
TNFAIP3,6.136,2.881,3.255,0.0044,True
CXCL16,5.39,2.276,3.113,0.0013,True
IL1B,3.989,1.219,2.769,0.0448,True
CCL5,3.216,0.918,2.298,0.0209,True
ITGB2,3.714,1.431,2.284,0.0525,False
ITGAM,3.707,1.484,2.223,0.0163,True
CXCL2,3.839,1.632,2.207,0.0757,False
CXCL3,3.008,0.856,2.153,0.0843,False
ICAM1,4.171,2.056,2.114,0.1145,False
JUP,8.208,6.225,1.983,0.1291,False
CCL3,3.117,1.202,1.915,0.1533,False
S100A12,2.707,0.852,1.855,0.0612,False
S100A8,5.36,3.657,1.702,0.2311,False
CXCR4,2.473,0.836,1.637,0.0508,False
CXCL14,2.204,0.585,1.619,0.0947,False
SELP,1.624,0.095,1.529,0.0224,True
FPR1,2.739,1.22,1.519,0.1844,False
CCL4,2.497,1.042,1.455,0.2235,False
CCL20,1.83,0.566,1.265,0.1288,False
MMP9,1.45,0.362,1.088,0.0799,False
S100A9,6.712,5.626,1.086,0.5075,False
PTGS2,1.984,0.971,1.013,0.2838,False
CXCL1,1.946,1.085,0.861,0.3598,False
CXCR2,1.087,0.284,0.804,0.1653,False
IL1A,1.212,0.409,0.803,0.1576,False
CCR2,1.036,0.273,0.763,0.1549,False
SOX2,1.144,0.481,0.663,0.2273,False
CXCL5,0.774,0.228,0.545,0.2807,False
FPR2,0.846,0.387,0.46,0.4083,False
CCR1,1.306,0.899,0.407,0.6396,False
CXCL11,0.401,0.0,0.401,0.1443,False
CCR5,0.382,0.0,0.382,0.1443,False
C5AR1,1.808,1.58,0.228,0.813,False
SELE,0.184,0.0,0.184,0.1443,False
CXCR3,0.176,0.0,0.176,0.1443,False
VCAM1,0.159,0.0,0.159,0.1443,False
CXCR1,0.36,0.215,0.146,0.7167,False
CXCL10,0.075,0.0,0.075,0.1443,False
NANOG,0.0,0.0,0.0,1.0,False
MMP2,0.0,0.0,0.0,1.0,False
CXCL9,0.0,0.0,0.0,1.0,False
CCR7,0.0,0.0,0.0,1.0,False
CXCL12,0.0,0.0,0.0,1.0,False
CXCL13,0.0,0.0,0.0,1.0,False
CCL7,0.0,0.0,0.0,1.0,False
CSF3,0.0,0.036,-0.036,0.5026,False
CSF2,0.0,0.147,-0.147,0.5026,False
CCL11,0.0,0.148,-0.148,0.5026,False
CCL2,0.0,0.18,-0.18,0.5026,False
CCL8,0.0,0.201,-0.201,0.5026,False
IL6,0.0,0.389,-0.389,0.5026,False
CXCL6,0.0,0.473,-0.473,0.3304,False
