Gene,Cluster_Mean,Single_Mean,Log2FC,P_value,Significant
JUP,10.034,6.458,3.576,0.0781,False
CXCL16,3.133,1.68,1.452,0.2373,False
CXCL14,3.964,2.978,0.986,0.4004,False
SELE,0.854,0.0,0.854,0.196,False
CXCR2,0.873,0.497,0.376,0.5027,False
S100A9,2.466,2.107,0.359,0.7549,False
ITGB2,1.012,0.747,0.265,0.6316,False
FPR1,0.782,0.549,0.234,0.6885,False
MMP9,0.226,0.0,0.226,0.3092,False
CCR2,0.286,0.067,0.219,0.4475,False
CXCL13,0.166,0.0,0.166,0.3092,False
VCAM1,0.113,0.0,0.113,0.3092,False
TNFAIP3,1.789,1.708,0.081,0.9455,False
FPR2,0.071,0.0,0.071,0.3092,False
CXCR1,0.237,0.172,0.065,0.7601,False
CCR1,0.143,0.106,0.037,0.8343,False
C5AR1,0.113,0.106,0.008,0.9614,False
CSF2,0.0,0.0,0.0,1.0,False
CSF3,0.0,0.0,0.0,1.0,False
IL1A,0.0,0.0,0.0,1.0,False
IL1B,0.0,0.0,0.0,1.0,False
IL8,0.0,0.0,0.0,1.0,False
PTGS2,0.0,0.0,0.0,1.0,False
CCR7,0.0,0.0,0.0,1.0,False
CCR5,0.0,0.0,0.0,1.0,False
CXCL11,0.0,0.0,0.0,1.0,False
CCL4,0.0,0.0,0.0,1.0,False
CXCR3,0.0,0.0,0.0,1.0,False
CCL20,0.0,0.0,0.0,1.0,False
CXCL9,0.0,0.0,0.0,1.0,False
CCL11,0.0,0.0,0.0,1.0,False
CXCL6,0.0,0.0,0.0,1.0,False
CCL2,0.0,0.0,0.0,1.0,False
CCL7,0.0,0.0,0.0,1.0,False
CXCL1,0.0,0.067,-0.067,0.3432,False
CCL8,0.0,0.067,-0.067,0.3432,False
IL6,0.0,0.067,-0.067,0.3432,False
MMP2,0.071,0.155,-0.083,0.6369,False
CCL3,0.0,0.106,-0.106,0.3432,False
CXCL3,0.882,0.998,-0.117,0.9018,False
CXCL10,0.0,0.155,-0.155,0.3432,False
ICAM1,0.777,0.971,-0.194,0.7602,False
S100A8,1.753,1.97,-0.216,0.8547,False
TNF,1.385,1.669,-0.284,0.7916,False
S100A12,0.071,0.488,-0.417,0.1094,False
CXCL5,0.0,0.449,-0.449,0.3432,False
CXCR4,0.792,1.339,-0.547,0.5703,False
CXCL12,0.0,0.549,-0.549,0.2476,False
ITGAM,0.791,1.539,-0.747,0.3167,False
CCL5,5.163,5.936,-0.773,0.607,False
CXCL2,0.071,1.061,-0.99,0.1405,False
SELP,3.402,4.53,-1.128,0.5519,False
