Gene,Cluster_Mean,Single_Mean,Log2FC,P_value,Significant
CXCL16,5.46,3.573,1.886,0.0013,True
TNF,2.208,0.808,1.4,0.0056,True
JUP,9.044,7.712,1.332,0.0277,True
ITGB2,1.979,0.838,1.141,0.0096,True
TNFAIP3,4.077,3.12,0.957,0.0901,False
S100A9,5.382,4.519,0.863,0.2224,False
CXCL2,2.191,1.39,0.801,0.1527,False
SOX2,2.206,1.425,0.782,0.0449,True
IL8,2.343,1.612,0.73,0.2549,False
IL1B,0.845,0.202,0.643,0.0919,False
CCL3,0.75,0.176,0.574,0.1099,False
S100A12,0.605,0.101,0.504,0.0647,False
CCL4,0.601,0.149,0.452,0.1637,False
ITGAM,1.058,0.611,0.447,0.1772,False
CCL20,0.465,0.116,0.349,0.1348,False
MMP9,1.127,0.784,0.343,0.274,False
CCL5,0.817,0.486,0.331,0.2944,False
PTGS2,0.779,0.516,0.263,0.4227,False
FPR1,0.77,0.515,0.255,0.4917,False
IL1A,0.639,0.398,0.241,0.3242,False
CXCL3,0.925,0.712,0.214,0.6397,False
CXCL14,0.531,0.319,0.212,0.5239,False
CCR2,0.207,0.017,0.19,0.1579,False
S100A8,2.047,1.869,0.178,0.7517,False
SELP,0.198,0.041,0.157,0.2616,False
ICAM1,1.268,1.127,0.141,0.7749,False
CXCL1,0.724,0.589,0.135,0.7121,False
CCR7,0.279,0.162,0.117,0.5397,False
VCAM1,0.106,0.0,0.106,0.2744,False
CCR5,0.092,0.0,0.092,0.2744,False
CXCR4,0.554,0.467,0.086,0.7647,False
CXCR2,0.231,0.149,0.082,0.6681,False
CXCL12,0.078,0.0,0.078,0.2744,False
FPR2,0.186,0.12,0.066,0.6567,False
MMP2,0.404,0.353,0.051,0.8426,False
CCR1,0.314,0.266,0.049,0.8399,False
CXCR3,0.018,0.0,0.018,0.2744,False
CXCL13,0.0,0.0,0.0,1.0,False
NANOG,0.0,0.0,0.0,1.0,False
CXCL9,0.0,0.0,0.0,1.0,False
CXCL10,0.0,0.0,0.0,1.0,False
CXCL11,0.0,0.0,0.0,1.0,False
SELE,0.0,0.0,0.0,1.0,False
CCL7,0.0,0.0,0.0,1.0,False
CCL8,0.0,0.0,0.0,1.0,False
CXCL5,0.068,0.098,-0.031,0.8062,False
CXCR1,0.087,0.149,-0.062,0.6613,False
CCL11,0.0,0.064,-0.064,0.3643,False
CCL2,0.0,0.078,-0.078,0.3643,False
CXCL6,0.104,0.204,-0.1,0.5826,False
C5AR1,0.48,0.583,-0.103,0.7092,False
CSF2,0.492,0.659,-0.167,0.6557,False
IL6,0.514,0.765,-0.251,0.5048,False
CSF3,0.72,1.249,-0.529,0.2419,False
